Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings
2010-05-08,Nashville,Dallas,Dallas,1,8
2010-05-09,Calgary,Tijuana,Tijuana,9,11
2010-05-09,Birmingham,Merida,Merida,3,6
2010-05-09,Denver,Los Angeles,Los Angeles,2,10
2010-05-09,Monterrey,Atlanta,Monterrey,3,0
2010-05-09,Vancouver,Phoenix,Vancouver,8,7
2010-05-09,San Antonio,Charlotte,San Antonio,6,4
2010-05-09,Seattle,Oakland,Seattle,6,1
2010-05-09,Nashville,Dallas,Dallas,2,7
2010-05-10,Calgary,Tijuana,Calgary,4,1
2010-05-10,Birmingham,Merida,Birmingham,5,4
2010-05-10,Denver,Los Angeles,Denver,5,3
2010-05-10,Atlanta,Dallas,Dallas,2,4
2010-05-10,Oakland,Vancouver,Oakland,4,3
2010-05-10,Phoenix,Seattle,Seattle,0,5
2010-05-11,Merida,Nashville,Merida,1,0
2010-05-11,San Antonio,Birmingham,San Antonio,8,1
2010-05-11,Los Angeles,Calgary,Los Angeles,2,0
2010-05-11,Tijuana,Denver,Tijuana,4,1
2010-05-11,Charlotte,Monterrey,Charlotte,3,0
2010-05-11,Atlanta,Dallas,Dallas,3,12
2010-05-11,Oakland,Vancouver,Oakland,7,4
2010-05-12,Merida,Nashville,Merida,5,0
2010-05-12,San Antonio,Birmingham,San Antonio,6,0
2010-05-12,Los Angeles,Calgary,Calgary,3,6
2010-05-12,Tijuana,Denver,Tijuana,5,3
2010-05-12,Atlanta,Dallas,Dallas,2,4
2010-05-12,Oakland,Vancouver,Oakland,6,5
2010-05-12,Phoenix,Seattle,Phoenix,1,0
2010-05-13,Merida,Nashville,Nashville,4,9
2010-05-13,Los Angeles,Calgary,Calgary,0,5
2010-05-13,Tijuana,Denver,Denver,3,5
2010-05-13,Charlotte,Monterrey,Monterrey,6,12
2010-05-14,Atlanta,San Antonio,San Antonio,0,3
2010-05-14,Monterrey,Charlotte,Monterrey,5,1
2010-05-14,Tijuana,Seattle,Seattle,3,8
