Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-04-26,Tijuana,Charlotte,Charlotte,0,4,,,,,1
2010-04-26,Denver,Monterrey,Monterrey,3,4,,,,,1
2010-04-26,Oakland,Nashville,Oakland,4,0,,,,,1
2010-04-26,Los Angeles,Atlanta,Los Angeles,7,2,,,,,1
2010-04-26,Vancouver,Dallas,Vancouver,5,1,,,,,1
2010-04-27,Phoenix,Birmingham,Phoenix,4,1,,,,,1
2010-04-27,Seattle,San Antonio,Seattle,9,4,,,,,1
2010-04-27,Tijuana,Charlotte,Tijuana,13,3,,,,,1
2010-04-27,Calgary,Monterrey,Monterrey,2,3,,,,,1
2010-04-27,Atlanta,Los Angeles,Atlanta,3,2,,,,,1
2010-04-28,Merida,Seattle,Seattle,5,8,,,,,1
2010-04-28,Denver,San Antonio,Denver,7,1,,,,,1
2010-04-28,Nashville,Tijuana,Tijuana,4,6,,,,,1
2010-04-28,Charlotte,Phoenix,Phoenix,2,3,,,,,1
2010-04-28,Birmingham,Oakland,Oakland,0,6,,,,,1
2010-04-28,Dallas,Vancouver,Dallas,8,3,,,,,1
2010-04-28,Calgary,Monterrey,Calgary,4,3,,,,,1
2010-04-28,Atlanta,Los Angeles,Los Angeles,2,4,,,,,1
2010-04-29,Merida,Seattle,Merida,9,3,,,,,1
2010-04-29,Denver,San Antonio,Denver,9,8,,,,,1
2010-04-29,Nashville,Tijuana,Nashville,8,7,,,,,1
2010-04-29,Charlotte,Phoenix,Phoenix,7,9,,,,,1
2010-04-29,Birmingham,Oakland,Oakland,2,3,,,,,1
2010-04-29,Dallas,Vancouver,Dallas,8,3,,,,,1
2010-04-29,Calgary,Monterrey,Calgary,4,3,,,,,1
2010-04-29,Atlanta,Los Angeles,Los Angeles,6,11,,,,,1
2010-04-30,Merida,Seattle,Merida,5,3,,,,,1
2010-04-30,Nashville,Tijuana,Nashville,3,0,,,,,1
2010-04-30,Charlotte,Phoenix,Charlotte,3,0,,,,,1
2010-04-30,Birmingham,Oakland,Birmingham,5,1,,,,,1
2010-04-30,Dallas,Vancouver,Dallas,4,2,,,,,1
2010-04-30,Monterrey,Calgary,Monterrey,6,3,,,,,1
2010-05-01,Oakland,Birmingham,Oakland,10,0,,,,,1
2010-05-01,Merida,Denver,Merida,9,1,,,,,1
2010-05-01,Tijuana,Nashville,Tijuana,7,6,,,,,1
2010-05-01,Los Angeles,Charlotte,Charlotte,2,5,,,,,1
2010-05-01,Dallas,Seattle,Dallas,9,6,,,,,1
2010-05-01,Phoenix,Atlanta,Atlanta,6,8,,,,,1
2010-05-01,Vancouver,San Antonio,San Antonio,6,8,,,,,1
2010-05-01,Monterrey,Calgary,Monterrey,11,0,,,,,1
2010-05-02,Oakland,Birmingham,Oakland,8,7,,,,,1
2010-05-02,Merida,Denver,Merida,5,3,,,,,1
2010-05-02,Tijuana,Nashville,Tijuana,4,2,,,,,1
2010-05-02,Los Angeles,Charlotte,Charlotte,5,6,,,,,1
2010-05-02,Dallas,Seattle,Seattle,2,5,,,,,1
2010-05-02,Phoenix,Atlanta,Phoenix,8,1,,,,,1
2010-05-02,Vancouver,San Antonio,Vancouver,3,2,,,,,1
2010-05-02,Monterrey,Calgary,Calgary,0,3,,,,,1
2010-05-03,Oakland,Birmingham,Oakland,3,2,,,,,1
