Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-08-24,Chicago,Winnipeg,Chicago,3,2,,,,,1
2010-08-24,Columbus,Indianapolis,Columbus,4,1,,,,,1
2010-08-24,Boston,New Haven,Boston,2,1,,,,,1
2010-08-24,Detroit,Akron,Detroit,2,0,,,,,1
2010-08-24,New York,Montreal,Montreal,0,4,,,,,1
2010-08-24,St. Paul,St. Louis,St. Paul,4,2,,,,,1
2010-08-25,"Washington, D.C.",Pittsburgh,"Washington, D.C.",12,3,,,,,1
2010-08-25,Philadelphia,Toronto,Toronto,2,3,,,,,1
2010-08-25,Chicago,Winnipeg,Chicago,11,5,,,,,1
2010-08-25,Boston,New Haven,New Haven,4,10,,,,,1
2010-08-25,Detroit,Akron,Detroit,6,3,,,,,1
2010-08-25,New York,Montreal,New York,8,2,,,,,1
2010-08-25,St. Paul,St. Louis,St. Louis,4,12,,,,,1
2010-08-26,"Washington, D.C.",Pittsburgh,Pittsburgh,2,6,,,,,1
2010-08-26,Philadelphia,Toronto,Toronto,5,13,,,,,1
2010-08-26,Chicago,Winnipeg,Chicago,11,4,,,,,1
2010-08-26,Akron,Detroit,Detroit,1,2,,,,,1
2010-08-26,New York,Boston,New York,7,1,,,,,1
2010-08-26,Montreal,New Haven,New Haven,4,6,,,,,1
2010-08-26,St. Paul,St. Louis,St. Paul,4,0,,,,,1
2010-08-26,Columbus,Indianapolis,Indianapolis,2,3,,,,,1
2010-08-27,"Washington, D.C.",Toronto,Toronto,2,6,,,,,1
2010-08-27,St. Louis,Winnipeg,Winnipeg,5,11,,,,,1
2010-08-27,St. Paul,Chicago,St. Paul,7,0,,,,,1
2010-08-27,Pittsburgh,Philadelphia,Philadelphia,1,6,,,,,1
2010-08-27,Indianapolis,Columbus,Indianapolis,11,6,,,,,1
2010-08-27,Akron,Detroit,Akron,4,1,,,,,1
2010-08-27,New York,Boston,New York,5,2,,,,,1
2010-08-27,Montreal,New Haven,Montreal,6,5,,,,,1
2010-08-28,"Washington, D.C.",Toronto,Toronto,0,5,,,,,1
2010-08-28,St. Louis,Winnipeg,Winnipeg,2,3,,,,,1
2010-08-28,St. Paul,Chicago,St. Paul,8,3,,,,,1
2010-08-28,Pittsburgh,Philadelphia,Pittsburgh,7,2,,,,,1
2010-08-28,Indianapolis,Columbus,Indianapolis,6,3,,,,,1
2010-08-28,Akron,Detroit,Detroit,2,5,,,,,1
2010-08-28,New York,Boston,New York,2,1,,,,,1
2010-08-28,Montreal,New Haven,Montreal,4,3,,,,,1
2010-08-29,St. Louis,Winnipeg,Winnipeg,2,10,,,,,1
2010-08-29,St. Paul,Chicago,St. Paul,6,4,,,,,1
2010-08-29,Pittsburgh,Philadelphia,Philadelphia,2,4,,,,,1
2010-08-29,Indianapolis,Columbus,Indianapolis,5,3,,,,,1
2010-08-29,Detroit,Boston,Detroit,6,1,,,,,1
2010-08-29,New York,Akron,New York,5,3,,,,,1
2010-08-29,Montreal,New Haven,Montreal,8,4,,,,,1
2010-08-30,Indianapolis,Montreal,Montreal,6,8,,,,,1
2010-08-30,Columbus,New Haven,Columbus,6,5,,,,,1
2010-08-30,Winnipeg,Philadelphia,Winnipeg,6,3,,,,,1
2010-08-30,"Washington, D.C.",Chicago,"Washington, D.C.",7,3,,,,,1
2010-08-30,Detroit,Boston,Boston,1,4,,,,,1
2010-08-30,New York,Akron,Akron,3,4,,,,,1
2010-08-31,Pittsburgh,St. Paul,Pittsburgh,7,5,,,,,1
2010-08-31,Toronto,St. Louis,Toronto,7,6,,,,,1
2010-08-31,Indianapolis,Montreal,Montreal,1,2,,,,,1
2010-08-31,Columbus,New Haven,New Haven,0,2,,,,,1
2010-08-31,Winnipeg,Philadelphia,Philadelphia,2,4,,,,,1
2010-08-31,"Washington, D.C.",Chicago,"Washington, D.C.",5,4,,,,,1
2010-08-31,Detroit,Boston,Boston,3,5,,,,,1
2010-08-31,New York,Akron,Akron,1,8,,,,,1
2010-09-01,Pittsburgh,St. Paul,Pittsburgh,5,3,,,,,1
2010-09-01,Toronto,St. Louis,St. Louis,4,6,,,,,1
2010-09-01,Indianapolis,Montreal,Indianapolis,5,3,,,,,1
2010-09-01,Columbus,New Haven,Columbus,8,3,,,,,1
2010-09-02,Winnipeg,Toronto,Toronto,1,2,,,,,1
2010-09-02,St. Louis,"Washington, D.C.",St. Louis,7,5,,,,,1
2010-09-02,Boston,Akron,Boston,5,3,,,,,1
2010-09-02,Detroit,Montreal,Detroit,5,4,,,,,1
2010-09-02,Columbus,New York,New York,2,6,,,,,1
2010-09-03,New Haven,Indianapolis,Indianapolis,4,6,,,,,1
2010-09-03,Chicago,Pittsburgh,Pittsburgh,3,10,,,,,1
2010-09-03,Philadelphia,St. Paul,Philadelphia,11,7,,,,,1
2010-09-03,Winnipeg,Toronto,Toronto,0,5,,,,,1
2010-09-03,St. Louis,"Washington, D.C.","Washington, D.C.",2,8,,,,,1
2010-09-03,Boston,Akron,Boston,7,5,,,,,1
2010-09-03,Detroit,Montreal,Detroit,3,1,,,,,1
2010-09-03,Columbus,New York,New York,0,3,,,,,1
2010-09-04,New Haven,Indianapolis,Indianapolis,3,6,,,,,1
2010-09-04,Chicago,Pittsburgh,Pittsburgh,1,5,,,,,1
2010-09-04,Philadelphia,St. Paul,St. Paul,0,6,,,,,1
2010-09-04,Winnipeg,Toronto,Winnipeg,7,1,,,,,1
2010-09-04,Boston,Akron,Boston,3,2,,,,,1
2010-09-04,Detroit,Montreal,Montreal,1,10,,,,,1
2010-09-04,Columbus,New York,Columbus,5,4,,,,,1
2010-09-05,New Haven,Indianapolis,New Haven,14,6,,,,,1
2010-09-05,Chicago,Pittsburgh,Chicago,12,3,,,,,1
2010-09-05,Philadelphia,St. Paul,Philadelphia,5,4,,,,,1
