Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
post Wind-up,Part 2,Founders,West Division,Aurora Group,4,St. Paul,34,45,0,0.43,0.438
pre Wind-up,Part 2,Founders,West Division,Rail Group,1,Indianapolis,44,33,2,0.571,0.494
pre Wind-up,Part 2,Founders,West Division,Rail Group,2,Detroit,36,37,7,0.493,0.549
pre Wind-up,Part 2,Founders,West Division,Rail Group,3,Columbus,32,39,8,0.451,0.512
pre Wind-up,Part 2,Founders,West Division,Rail Group,4,Akron,28,50,2,0.359,0.469
post Wind-up,Part 2,Founders,West Division,Rail Group,1,Indianapolis,46,33,0,0.582,0.494
post Wind-up,Part 2,Founders,West Division,Rail Group,2,Detroit,40,40,0,0.5,0.549
post Wind-up,Part 2,Founders,West Division,Rail Group,3,Columbus,35,44,0,0.443,0.512
post Wind-up,Part 2,Founders,West Division,Rail Group,4,Akron,30,50,0,0.375,0.469
pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,1,Nashville,37,36,6,0.507,0.454
pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,2,Atlanta,39,39,1,0.5,0.506
pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,3,Birmingham,36,38,4,0.486,0.486
pre Wind-up,Part 2,Visionaries,East Division,Ridge Group,4,Charlotte,30,44,6,0.405,0.487
post Wind-up,Part 2,Visionaries,East Division,Ridge Group,1,Atlanta,39,40,0,0.494,0.506
post Wind-up,Part 2,Visionaries,East Division,Ridge Group,2,Birmingham,38,40,0,0.487,0.486
post Wind-up,Part 2,Visionaries,East Division,Ridge Group,3,Nashville,38,41,0,0.481,0.454
post Wind-up,Part 2,Visionaries,East Division,Ridge Group,4,Charlotte,34,46,0,0.425,0.487
pre Wind-up,Part 2,Visionaries,East Division,Desert Group,1,Monterrey,45,30,4,0.6,0.559
pre Wind-up,Part 2,Visionaries,East Division,Desert Group,2,San Antonio,39,34,6,0.534,0.591
pre Wind-up,Part 2,Visionaries,East Division,Desert Group,3,Dallas,38,39,3,0.494,0.552
pre Wind-up,Part 2,Visionaries,East Division,Desert Group,4,Merida,36,38,4,0.486,0.531
post Wind-up,Part 2,Visionaries,East Division,Desert Group,1,Monterrey,47,32,0,0.595,0.559
post Wind-up,Part 2,Visionaries,East Division,Desert Group,2,San Antonio,41,38,0,0.519,0.591
post Wind-up,Part 2,Visionaries,East Division,Desert Group,3,Merida,40,38,0,0.513,0.531
post Wind-up,Part 2,Visionaries,East Division,Desert Group,4,Dallas,40,40,0,0.5,0.552
pre Wind-up,Part 2,Visionaries,West Division,Pass Group,1,Denver,38,34,6,0.528,0.54
pre Wind-up,Part 2,Visionaries,West Division,Pass Group,2,Calgary,38,35,4,0.521,0.401
pre Wind-up,Part 2,Visionaries,West Division,Pass Group,3,Vancouver,36,38,4,0.486,0.601
pre Wind-up,Part 2,Visionaries,West Division,Pass Group,4,Seattle,34,37,8,0.479,0.367
post Wind-up,Part 2,Visionaries,West Division,Pass Group,1,Calgary,41,36,0,0.532,0.401
post Wind-up,Part 2,Visionaries,West Division,Pass Group,2,Denver,40,38,0,0.513,0.54
post Wind-up,Part 2,Visionaries,West Division,Pass Group,3,Vancouver,37,41,0,0.474,0.601
post Wind-up,Part 2,Visionaries,West Division,Pass Group,4,Seattle,36,43,0,0.456,0.367
pre Wind-up,Part 2,Visionaries,West Division,Rush Group,1,Oakland,47,26,5,0.644,0.537
pre Wind-up,Part 2,Visionaries,West Division,Rush Group,2,Tijuana,35,38,5,0.479,0.475
pre Wind-up,Part 2,Visionaries,West Division,Rush Group,3,Los Angeles,33,38,7,0.465,0.497
pre Wind-up,Part 2,Visionaries,West Division,Rush Group,4,Phoenix,28,45,5,0.384,0.281
post Wind-up,Part 2,Visionaries,West Division,Rush Group,1,Oakland,50,28,0,0.641,0.537
post Wind-up,Part 2,Visionaries,West Division,Rush Group,2,Tijuana,39,39,0,0.5,0.475
post Wind-up,Part 2,Visionaries,West Division,Rush Group,3,Los Angeles,37,41,0,0.474,0.497
post Wind-up,Part 2,Visionaries,West Division,Rush Group,4,Phoenix,31,47,0,0.397,0.281
pre Wind-up,Part 3,Founders,East Division,Port Group,1,New Haven,58,52,5,0.527,0.574
pre Wind-up,Part 3,Founders,East Division,Port Group,2,Boston,55,56,5,0.495,0.51
pre Wind-up,Part 3,Founders,East Division,Port Group,3,New York,44,69,3,0.389,0.383
pre Wind-up,Part 3,Founders,East Division,Port Group,4,Montreal,39,71,5,0.355,0.377
post Wind-up,Part 3,Founders,East Division,Port Group,1,New Haven,61,54,0,0.53,0.574
post Wind-up,Part 3,Founders,East Division,Port Group,2,Boston,57,59,0,0.491,0.51
post Wind-up,Part 3,Founders,East Division,Port Group,3,New York,46,70,0,0.397,0.383
post Wind-up,Part 3,Founders,East Division,Port Group,4,Montreal,42,73,0,0.365,0.377
pre Wind-up,Part 3,Founders,East Division,Canal Group,1,Philadelphia,70,46,1,0.603,0.512
pre Wind-up,Part 3,Founders,East Division,Canal Group,2,"Washington, D.C.",60,52,4,0.536,0.549
pre Wind-up,Part 3,Founders,East Division,Canal Group,3,Toronto,58,55,3,0.513,0.549
pre Wind-up,Part 3,Founders,East Division,Canal Group,4,Pittsburgh,55,57,5,0.491,0.475
post Wind-up,Part 3,Founders,East Division,Canal Group,1,Philadelphia,70,47,0,0.598,0.512
post Wind-up,Part 3,Founders,East Division,Canal Group,2,"Washington, D.C.",62,54,0,0.534,0.549
post Wind-up,Part 3,Founders,East Division,Canal Group,3,Toronto,60,56,0,0.517,0.549
post Wind-up,Part 3,Founders,East Division,Canal Group,4,Pittsburgh,57,60,0,0.487,0.475
pre Wind-up,Part 3,Founders,West Division,Aurora Group,1,Winnipeg,67,45,4,0.598,0.574
pre Wind-up,Part 3,Founders,West Division,Aurora Group,2,St. Louis,65,48,3,0.575,0.605
pre Wind-up,Part 3,Founders,West Division,Aurora Group,3,Chicago,63,50,3,0.558,0.586
pre Wind-up,Part 3,Founders,West Division,Aurora Group,4,St. Paul,49,65,2,0.43,0.438
post Wind-up,Part 3,Founders,West Division,Aurora Group,1,Winnipeg,68,48,0,0.586,0.574
post Wind-up,Part 3,Founders,West Division,Aurora Group,2,Chicago,66,50,0,0.569,0.586
post Wind-up,Part 3,Founders,West Division,Aurora Group,2,St. Louis,66,50,0,0.569,0.605
post Wind-up,Part 3,Founders,West Division,Aurora Group,4,St. Paul,49,67,0,0.422,0.438
pre Wind-up,Part 3,Founders,West Division,Rail Group,1,Indianapolis,63,51,2,0.553,0.494
pre Wind-up,Part 3,Founders,West Division,Rail Group,2,Detroit,55,57,4,0.491,0.549
pre Wind-up,Part 3,Founders,West Division,Rail Group,3,Columbus,52,58,6,0.473,0.512
pre Wind-up,Part 3,Founders,West Division,Rail Group,4,Akron,45,66,5,0.405,0.469
post Wind-up,Part 3,Founders,West Division,Rail Group,1,Indianapolis,65,51,0,0.56,0.494
post Wind-up,Part 3,Founders,West Division,Rail Group,2,Detroit,57,59,0,0.491,0.549
post Wind-up,Part 3,Founders,West Division,Rail Group,3,Columbus,54,62,0,0.466,0.512
post Wind-up,Part 3,Founders,West Division,Rail Group,4,Akron,48,68,0,0.414,0.469
pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Birmingham,60,51,4,0.541,0.486
pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,2,Nashville,58,55,2,0.513,0.454
pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,3,Atlanta,53,60,3,0.469,0.506
pre Wind-up,Part 3,Visionaries,East Division,Ridge Group,4,Charlotte,52,60,4,0.464,0.487
post Wind-up,Part 3,Visionaries,East Division,Ridge Group,1,Birmingham,62,53,0,0.539,0.486
post Wind-up,Part 3,Visionaries,East Division,Ridge Group,2,Nashville,59,56,0,0.513,0.454
post Wind-up,Part 3,Visionaries,East Division,Ridge Group,3,Atlanta,55,61,0,0.474,0.506
post Wind-up,Part 3,Visionaries,East Division,Ridge Group,4,Charlotte,54,62,0,0.466,0.487
pre Wind-up,Part 3,Visionaries,East Division,Desert Group,1,Monterrey,73,43,0,0.629,0.559
pre Wind-up,Part 3,Visionaries,East Division,Desert Group,2,San Antonio,58,55,2,0.513,0.591
pre Wind-up,Part 3,Visionaries,East Division,Desert Group,3,Dallas,56,54,6,0.509,0.552
